,site,ntbg.accession,ntbg.plant.number,plt.date,gpslatdec,gpslongdec,kpep.georef,founder.georef,X19.survival,X19.vigor,X19.height,X19.diameter,X19.reproduction,X21.date.monitored,X21.survival,X21.vigor,X21.height,X21.diameter,X21.reproduction,change.height,change.diam,rel.delta.height,rel.delta.diam,comments,canopy.cover,percent.native,understory.height,species1,species1.percent,species2,species2.percent,species3,species3.percent,species4,species4.percent,species5,species5.percent,slope.angle,aspect,Ageratum.conyzoides,Alyxia.stellata,Andropogon.spp,Antidesma.platyphyllum,Asplenium.spp,Bidens.spp,Blechnum.appendiculatum,Christella.dentata,Cibotium.glaucum,Clidemia.hirta,Cordyline.fruticosa,Cyanea.spp,Cyperus.spp,Cyrtandra.spp,Dianella.sandwicensis,Dicranopteris.linearis,Diospyros.sandwicensis,Diplazium.sandwichianum,Diplopterygium.pinnatum,Doryopteris.spp,Dryopteris.spp,Dubautia.spp,Elaphoglossum.spp,Elephantopus.mollis,Freycinetia.arborea,Gahnia.beecheyi,Hydrangea.arguta,Ilex.anomala,Invasive.Grass,invherb,invwood,Ipomea.spp,Kadua.spp,Leptecophylla.tameiameiae,Leucaena.leucocephala,Machaerina.angustifolia,Machaerina.mariscoides,Megathyrsus.maximus,Melastoma.septemnervium,Melinis.minutiflora,Metrosideros.polymorpha,Microlepia.strigosa.,Myrsine.lessertiana,nativeherb,nativewood,Nephrolepis.spp,Odontosoria.chinensis,Oplismenus.hirtellus,Paederia.foetida,Palhinhaea.cernua,Passiflora.spp,Peperomia.spp,Perrottetia.sandwicensis,Phaius.tankervilleae,Phlebotium.aureum,Pipturus.albidus,Pipturus.ruber,Pluchea.spp,Polyscias.oahuensis,Psidium.cattleyanum,Psychotria.mariniana,Psychotria.spp,Rubus.argutus,Sadleria.cyatheoides,Sadleria.spp,Scaevola.gaudichaudiana,Scaevola.procera,Schinus.terebinthifolius,Selaginella.spp,Stachytarpheta.cayennensis,Syzygium.sandwicense,Tectaria.gaudichaudii,Vaccinium.calycinum,Viola.wailenalenae,NA.,angles,genetic.group,weed.control,native.herbaceous,native.fern,native.woody,uluhe,naturalized.herbaceous,naturalized.woody,naturalized.poaceae,naturalized.fern
1,BlueHole,20160612,13,8/15/18,22.064014,-159.492049,POLBIS-KA-UPP-Z-0254,POLBIS-KA-HUL-B-0007,alive,healthy,44,1.1,vegetative,12/13/21,alive,healthy,56,1,vegetative,12,0,0.214285714,0,black mold,50,100,0.5,Metrosideros.polymorpha,20,Clidemia.hirta,30,Odontosoria.chinensis,30,NA,NA,NA,NA,50,NE,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,50,kahili.lower,sporadic,0,30,20,0,0,30,0,0
2,BlueHole,20160613,26,8/15/18,22.064525,-159.491752,POLBIS-KA-UPP-Z-0002,POLBIS-KA-HUL-B-0006,not.found,not.found,NA,NA,vegetative,1/11/22,alive,moderate,45,0.7,vegetative,NA,NA,NA,NA,scale,80,50,1,Diplazium.sandwichianum,50,Invasive.Grass,10,Psychotria.spp,10,Clidemia.hirta,30,NA,NA,40,SE,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,40,kahili.lower,sporadic,0,50,10,0,0,30,10,0
3,BlueHole,20160613,800,8/15/18,22.064595,-159.491649,POLBIS-KA-UPP-Z-0004,POLBIS-KA-HUL-B-0006,alive,healthy,52,0.6,vegetative,1/11/22,alive,moderate,49,0.6,vegetative,0,0,0,0,"scale, yellow leaves, handwritten tag",70,90,0.5,Microlepia.strigosa ,40,Freycinetia.arborea,20,Psychotria.spp,10,Invasive.Grass,10,Diplazium.sandwichianum,20,10,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kahili.lower,sporadic,0,60,30,0,0,0,10,0
4,BlueHole,20160615,15,8/15/18,22.064057,-159.491771,POLBIS-KA-UPP-Z-0506,POLBIS-KA-HUL-B-0004,alive,healthy,56,1,vegetative,12/15/21,alive,moderate,69,1.2,vegetative,13,0.2,0.188405797,0.166666667,scale,40,50,1,Andropogon.spp,40,Clidemia.hirta,30,Metrosideros.polymorpha,20,Sadleria.cyatheoides,20,Invasive.Grass,10,10,NE,0,0,40,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,kahili.lower,sporadic,0,0,40,0,0,30,50,0
5,BlueHole,20160691,24,8/15/18,22.064034,-159.491739,POLBIS-KA-UPP-Z-0266,POLBIS-KA-HUL-B-0006,not.found,not.found,NA,NA,vegetative,12/16/21,alive,moderate,24,0.4,vegetative,NA,NA,NA,NA,NA,80,100,0.5,Odontosoria.chinensis,30,Clidemia.hirta,20,Machaerina.angustifolia,10,Sadleria.spp,30,Dubautia.spp,10,40,NW,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,40,kahili.lower,sporadic,20,30,30,0,0,20,0,0
6,BlueHole,20160691,25,8/15/18,22.064143,-159.491703,POLBIS-KA-UPP-Z-0269,POLBIS-KA-HUL-B-0006,alive,moderate,27,0.5,vegetative,12/14/21,alive,poor,28,0.6,vegetative,1,0.1,0.035714286,0.166666667,NA,50,100,0.5,Odontosoria.chinensis,20,Clidemia.hirta,20,Sadleria.cyatheoides,20,Machaerina.angustifolia,20,NA,NA,50,N,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,NA,50,kahili.lower,sporadic,20,20,20,0,0,20,0,0
7,BlueHole,20160693,129,8/15/18,22.063791,-159.492148,POLBIS-KA-UPP-Z-0013,POLBIS-KA-HUL-B-0001,alive,moderate,50,1,vegetative,12/13/21,alive,moderate,53,0.9,vegetative,3,0,0.056603774,0,"scale, black fungus",30,100,1,Metrosideros.polymorpha,30,Dicranopteris.linearis,20,Odontosoria.chinensis,20,Invasive.Grass,20,NA,NA,10,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10,kahili.lower,sporadic,0,20,30,20,0,0,20,0
8,BlueHole,20160693,130,8/15/18,22.063947,-159.491729,POLBIS-KA-UPP-Z-0525,POLBIS-KA-HUL-B-0001,alive,moderate,18,0.4,vegetative,12/13/21,alive,moderate,28,0.6,vegetative,10,0.2,0.357142857,0.333333333,NA,50,100,1,Clidemia.hirta,30,Odontosoria.chinensis,20,Psychotria.spp,20,Invasive.Grass,10,NA,NA,50,SE,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,NA,50,kahili.lower,sporadic,0,20,20,0,0,30,10,0
9,BlueHole,20160693,131,8/15/18,22.063956,-159.49173,POLBIS-KA-UPP-Z-0532,POLBIS-KA-HUL-B-0001,alive,moderate,9,0.5,vegetative,12/13/21,alive,poor,21,0.6,vegetative,12,0.1,0.571428571,0.166666667,NA,60,100,1,Sadleria.cyatheoides,10,Odontosoria.chinensis,20,Clidemia.hirta,40,NA,NA,NA,NA,50,SE,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,NA,50,kahili.lower,sporadic,0,20,10,0,0,40,0,0
10,BlueHole,20160693,132,8/15/18,22.06467,-159.49154,POLBIS-KA-UPP-Z-0017,POLBIS-KA-HUL-B-0001,alive,healthy,51,1,vegetative,12/13/21,alive,healthy,75,1.5,vegetative,24,0.5,0.32,0.333333333,scale,50,90,0.5,Invasive.Grass,30,Clidemia.hirta,30,Psychotria.spp,20,Antidesma.platyphyllum,10,Dryopteris.spp,10,30,SE,0,0,0,10,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,kahili.lower,sporadic,0,10,30,0,0,30,30,0
11,BlueHole,20160693,133,8/15/18,22.064385,-159.491308,POLBIS-KA-UPP-Z-0282,POLBIS-KA-HUL-B-0001,alive,healthy,20,0.9,vegetative,12/14/21,alive,moderate,25,1.1,vegetative,5,0.2,0.2,0.181818182,scale,70,100,0.5,Odontosoria.chinensis,20,Clidemia.hirta,20,Machaerina.angustifolia,20,NA,NA,NA,NA,40,N,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,40,kahili.lower,sporadic,20,20,0,0,0,20,0,0
12,BlueHole,20160693,134,8/15/18,22.064391,-159.491875,POLBIS-KA-UPP-Z-0022,POLBIS-KA-HUL-B-0001,alive,healthy,78,1,vegetative,12/15/21,alive,healthy,113,1.3,vegetative,35,0.3,0.309734513,0.230769231,NA,50,70,1.5,Clidemia.hirta,50,Odontosoria.chinensis,30,Invasive.Grass,20,Psidium.cattleyanum,20,Cyrtandra.spp,10,10,SW,0,0,0,0,0,0,0,0,0,50,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kahili.lower,sporadic,0,30,10,0,0,70,20,0
13,BlueHole,20160693,135,8/15/18,22.064175,-159.491425,POLBIS-KA-UPP-Z-0274,POLBIS-KA-HUL-B-0001,alive,moderate,20,0.7,vegetative,12/15/21,alive,poor,22,0.5,vegetative,2,0,0.090909091,0,mold,40,10,0.5,Dicranopteris.linearis,20,Clidemia.hirta,20,Odontosoria.chinensis,40,NA,NA,NA,NA,30,SE,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30,kahili.lower,sporadic,0,40,0,20,0,20,0,0
14,BlueHole,20160693,136,8/15/18,22.06448,-159.491196,POLBIS-KA-UPP-Z-0528,POLBIS-KA-HUL-B-0001,alive,moderate,17,0.6,vegetative,12/15/21,alive,poor,18,0.6,vegetative,1,0,0.055555556,0,NA,30,100,0.5,Sadleria.cyatheoides,20,Odontosoria.chinensis,20,Clidemia.hirta,20,Psychotria.spp,20,NA,NA,10,NE,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,NA,10,kahili.lower,sporadic,0,20,40,0,0,20,0,0
15,BlueHole,20160693,137,8/15/18,22.063929,-159.491977,POLBIS-KA-UPP-Z-0287,POLBIS-KA-HUL-B-0001,alive,moderate,13,0.5,vegetative,12/14/21,alive,moderate,22,0.5,vegetative,9,0,0.409090909,0,NA,40,100,0.5,Dicranopteris.linearis,20,Invasive.Grass,20,Antidesma.platyphyllum,20,Clidemia.hirta,20,Christella.dentata,20,30,N,0,0,0,20,0,0,0,20,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,kahili.lower,sporadic,0,0,20,20,0,20,20,20
16,BlueHole,20160693,138,8/15/18,22.065173,-159.490875,POLBIS-KA-UPP-Z-0019,POLBIS-KA-HUL-B-0001,alive,moderate,29,0.6,vegetative,1/10/22,alive,moderate,34,0.6,vegetative,5,0,0.147058824,0,"scales, black mold",80,0,1,Invasive.Grass,80,Clidemia.hirta,10,Nephrolepis.spp,10,Metrosideros.polymorpha,10,Odontosoria.chinensis,10,10,N,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kahili.lower,sporadic,0,10,10,0,0,10,80,10
17,BlueHole,20160693,139,8/15/18,22.065173,-159.490875,POLBIS-KA-UPP-Z-0277,POLBIS-KA-HUL-B-0001,not.found,not.found,NA,NA,vegetative,1/11/22,alive,moderate,22,0.4,vegetative,NA,NA,NA,NA,"find GPS, handwritten tag",80,40,1,Sadleria.spp,30,Invasive.Grass,30,Clidemia.hirta,30,NA,NA,NA,NA,50,SE,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,NA,50,kahili.lower,sporadic,0,0,30,0,0,30,30,0
18,BlueHole,20160693,140,8/15/18,22.065173,-159.490875,POLBIS-KA-UPP-Z-0283,POLBIS-KA-HUL-B-0001,alive,moderate,20,0.4,vegetative,1/11/22,alive,moderate,23,0.3,vegetative,3,0,0.130434783,0,"find GPS, very small, handwritten tag",40,100,1,Clidemia.hirta,20,Invasive.Grass,30,Odontosoria.chinensis,20,Diplazium.sandwichianum,20,NA,NA,50,SE,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,50,kahili.lower,sporadic,0,40,0,0,0,20,30,0
19,BlueHole,20160729,14,8/15/18,22.063986,-159.491663,POLBIS-KA-UPP-Z-0298,POLBIS-KA-HUL-B-0005,alive,moderate,35,0.4,vegetative,12/15/21,alive,moderate,43,0.5,vegetative,8,0.1,0.186046512,0.2,scale,40,100,1.5,Clidemia.hirta,20,Sadleria.cyatheoides,20,Nephrolepis.spp,20,Invasive.Grass,10,NA,NA,30,SE,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,NA,30,kahili.lower,sporadic,0,0,20,0,0,20,10,20
20,BlueHole,20160734,28,8/15/18,22.063797,-159.492516,POLBIS-KA-UPP-Z-0036,POLBIS-KA-HUL-B-0001,not.found,not.found,NA,NA,vegetative,12/14/21,alive,poor,22,0.3,vegetative,NA,NA,NA,NA,"very small, not found in 2020",10,100,1,Invasive.Grass,30,Clidemia.hirta,20,Blechnum.appendiculatum,20,Sadleria.spp,20,NA,NA,20,NE,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,NA,20,kahili.lower,sporadic,0,0,20,0,0,20,30,20
21,BlueHole,20160734,29,8/15/18,22.064689,-159.491563,POLBIS-KA-UPP-Z-0029,POLBIS-KA-HUL-B-0001,alive,healthy,79,1,vegetative,12/13/21,alive,healthy,115,1.6,vegetative,36,0.6,0.313043478,0.375,NA,60,70,1,Invasive.Grass,20,Clidemia.hirta,40,Diplazium.sandwichianum,10,Psychotria.spp,20,NA,NA,20,E,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,NA,20,kahili.lower,sporadic,0,10,20,0,0,40,20,0
22,BlueHole,20160734,30,8/15/18,22.064647,-159.491411,POLBIS-KA-UPP-Z-0026,POLBIS-KA-HUL-B-0001,not.found,not.found,NA,NA,vegetative,12/14/21,alive,healthy,83,1.1,vegetative,NA,NA,NA,NA,"scales, fungus",60,50,0.5,Invasive.Grass,30,Psychotria.spp,10,Clidemia.hirta,30,Diplazium.sandwichianum,10,NA,NA,45,SE,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,45,kahili.lower,sporadic,0,10,10,0,0,30,30,0
23,BlueHole,20160734,31,8/15/18,22.064502,-159.491271,POLBIS-KA-UPP-Z-0023,POLBIS-KA-HUL-B-0001,not.found,not.found,NA,NA,vegetative,12/14/21,alive,healthy,118,1.4,vegetative,NA,NA,NA,NA,huge!,70,100,1,Clidemia.hirta,20,Hydrangea.arguta,20,Invasive.Grass,20,Diplazium.sandwichianum,20,Blechnum.appendiculatum,20,30,S,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,kahili.lower,sporadic,0,20,20,0,0,20,20,20
24,BlueHole,20160734,610,8/1/18,22.063852,-159.491197,POLBIS-KA-UPP-Z-0031,POLBIS-KA-HUL-B-0001,alive,healthy,60,1.1,vegetative,12/15/21,alive,moderate,79,1.1,vegetative,19,0,0.240506329,0,handwritten tag,80,50,1,Clidemia.hirta,80,Microlepia.strigosa ,50,Dryopteris.spp,10,NA,NA,NA,NA,0,S,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,kahili.lower,sporadic,0,60,0,0,0,80,0,0
25,BlueHole,20160734,611,8/1/18,22.063852,-159.4913,POLBIS-KA-UPP-Z-0304,POLBIS-KA-HUL-B-0001,alive,moderate,17,0.4,vegetative,12/15/21,alive,poor,18,0.3,vegetative,1,0,0.055555556,0,find GPS,50,100,0.5,Odontosoria.chinensis,60,Clidemia.hirta,20,Invasive.Grass,20,Metrosideros.polymorpha,30,NA,NA,20,NE,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20,kahili.lower,sporadic,0,60,30,0,0,20,20,0
26,BlueHole,20160734,800,8/1/18,22.064747,-159.49148,POLBIS-KA-UPP-Z-0025,POLBIS-KA-HUL-B-0001,alive,poor,52,0.9,vegetative,1/10/22,alive,healthy,59,1.1,vegetative,7,0.2,0.118644068,0.181818182,"scale, black mold, yellow leaves",10,50,1,Invasive.Grass,50,Clidemia.hirta,20,Nephrolepis.spp,10,Diplazium.sandwichianum,10,Antidesma.platyphyllum,10,10,W,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kahili.lower,sporadic,0,10,10,0,0,20,50,10
27,BlueHole,20160735,18,8/1/18,22.063788,-159.492087,POLBIS-KA-UPP-Z-0048,POLBIS-KA-HUL-B-0007,alive,moderate,36,0.6,vegetative,12/13/21,alive,moderate,37,0.6,vegetative,1,0,0.027027027,0,NA,40,100,1,Odontosoria.chinensis,30,Dicranopteris.linearis,30,Invasive.Grass,20,Clidemia.hirta,10,NA,NA,10,E,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10,kahili.lower,sporadic,0,30,0,30,0,10,20,0
28,BlueHole,20160739,70,8/1/18,22.064868,-159.491452,POLBIS-KA-UPP-Z-0052,POLBIS-KA-HUL-A-0003,not.found,not.found,NA,NA,vegetative,1/10/22,alive,moderate,46,0.9,vegetative,NA,NA,NA,NA,scale,50,100,1,Clidemia.hirta,50,Invasive.Grass,10,Christella.dentata,30,Rubus.argutus,10,NA,NA,10,NE,0,0,0,0,0,0,0,30,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NA,10,kahili.upper,sporadic,0,0,0,0,10,50,10,30
29,BlueHole,20160740,126,7/31/18,22.064573,-159.491842,POLBIS-KA-UPP-Z-0070,POLBIS-KA-HUL-A-0004,not.found,not.found,NA,NA,vegetative,12/16/21,alive,moderate,78,0.8,vegetative,NA,NA,NA,NA,NA,50,100,1,Clidemia.hirta,20,Doryopteris.sp,20,Rubus.argutus,10,Invasive.Grass,20,NA,NA,20,S,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NA,20,kahili.upper,sporadic,0,20,0,0,10,20,20,0
30,BlueHole,20160753,312,8/15/18,22.063691,-159.492277,POLBIS-KA-UPP-Z-0112,POLBIS-KA-HUL-C-0001,alive,healthy,48,0.9,vegetative,12/16/21,alive,moderate,54,0.9,vegetative,6,0,0.111111111,0,scale,30,100,0.5,Dicranopteris.linearis,20,Metrosideros.polymorpha,30,Invasive.Grass,20,Clidemia.hirta,20,NA,NA,20,N,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20,haupu,sporadic,0,0,30,20,0,20,20,0
31,BlueHole,20160753,313,8/15/18,22.063863,-159.491771,POLBIS-KA-UPP-Z-0126,POLBIS-KA-HUL-C-0001,alive,moderate,36,0.8,vegetative,12/16/21,alive,poor,38,0.7,vegetative,2,0,0.052631579,0,NA,40,100,1,Clidemia.hirta,50,Invasive.Grass,10,Psychotria.spp,10,Diplazium.sandwichianum,10,NA,NA,40,SE,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,40,haupu,sporadic,0,10,10,0,0,50,10,0
32,BlueHole,20160753,314,8/15/18,22.064429,-159.49114,POLBIS-KA-UPP-Z-0165,POLBIS-KA-HUL-C-0001,not.found,not.found,NA,NA,vegetative,12/14/21,alive,moderate,52,0.9,vegetative,NA,NA,NA,NA,not found in 2020,60,100,0.5,Clidemia.hirta,20,Invasive.Grass,20,Diplazium.sandwichianum,20,Dubautia.spp,20,NA,NA,50,SE,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,50,haupu,sporadic,20,20,0,0,0,20,20,0
33,BlueHole,20160753,315,8/15/18,22.063894,-159.491775,POLBIS-KA-UPP-Z-0346,POLBIS-KA-HUL-C-0001,not.found,not.found,NA,NA,vegetative,12/16/21,alive,moderate,45,0.7,vegetative,NA,NA,NA,NA,NA,20,100,1,Odontosoria.chinensis,10,Clidemia.hirta,10,Machaerina.angustifolia,10,Cordyline.fruticosa,10,Invasive.Grass,10,30,SE,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,haupu,sporadic,10,10,0,0,0,20,10,0
34,BlueHole,20160753,316,8/15/18,22.063954,-159.491706,POLBIS-KA-UPP-Z-0367,POLBIS-KA-HUL-C-0001,not.found,not.found,NA,NA,vegetative,12/14/21,alive,poor,20,0.4,vegetative,NA,NA,NA,NA,"very small, new find",20,100,1,Clidemia.hirta,20,Odontosoria.chinensis,20,Psychotria.spp,20,Metrosideros.polymorpha,20,Invasive.Grass,20,30,SE,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,haupu,sporadic,0,20,40,0,0,20,20,0
